Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Year,MRP_Level,Item_Outlet_Sales,Item_Class
NCK,5.615,None,0.17133418,Health and Hygiene,123.473,OUT019,Small,Tier 1,Grocery Store,28,Medium,2.99271095705134,NC
FDM,20.5,Low Fat,0.058587558,Fruits and Vegetables,90.883,OUT010,Small,Tier 3,Grocery Store,15,Medium,0.988996842093681,FD
FDL,20.35,Low Fat,0.054056927,Snack Foods,116.8466,OUT046,Small,Tier 1,Supermarket Type1,16,Medium,20.1711645867317,FD
FDC,10.895,Regular,0.009636821,Dairy,121.873,OUT049,Medium,Tier 1,Supermarket Type1,14,Medium,20.2133368342455,FD
FDF,7.3,Low Fat,0.086266286,Frozen Foods,147.2076,OUT049,Medium,Tier 1,Supermarket Type1,14,High,13.0529863947242,FD
NCV,11.1,None,0.033081389,Household,116.5124,OUT013,High,Tier 3,Supermarket Type1,26,Medium,9.15448999419804,NC
FDE,7.06,Regular,0.043989429,Starchy Foods,60.2904,OUT045,Small,Tier 2,Supermarket Type1,11,Low,10.6898345341879,FD
FDA,9.8,Low Fat,0.047178116,Baking Goods,99.4016,OUT035,Small,Tier 2,Supermarket Type1,9,Medium,24.4346006502913,FD
FDI,9.5,Low Fat,0.074496043,Snack Foods,251.9724,OUT045,Small,Tier 2,Supermarket Type1,11,Very_High,9.98809393409755,FD
FDZ,17.6,Regular,0.039189221,Snack Foods,97.341,OUT013,High,Tier 3,Supermarket Type1,26,Medium,9.91781469267832,FD
DRK,11.8,Low Fat,0.115819014,Soft Drinks,198.3084,OUT017,Small,Tier 2,Supermarket Type1,6,High,23.0115980967019,DR
FDX,9.695,Regular,0.129008866,Baking Goods,226.9404,OUT017,Small,Tier 2,Supermarket Type1,6,Very_High,11.8995330932703,FD
FDY,16.5,Regular,0.160371305,Snack Foods,143.9128,OUT018,Medium,Tier 3,Supermarket Type2,4,High,10.9923564825366,FD
FDR,6.78,Regular,0.085392428,Fruits and Vegetables,226.7694,OUT027,Medium,Tier 3,Supermarket Type3,28,Very_High,27.1905018931126,FD
DRF,9,Low Fat,0.038925251,Soft Drinks,34.919,OUT046,Small,Tier 1,Supermarket Type1,16,Low,13.6328932672757,DR
FDK,12.6,Regular,0.041557653,Fruits and Vegetables,124.5072,OUT046,Small,Tier 1,Supermarket Type1,16,Medium,19.6787334387088,FD
DRI,8.26,Low Fat,0.060237465,Hard Drinks,115.9834,OUT019,Small,Tier 1,Grocery Store,28,Medium,2.97930738364283,DR
FDH,14.35,Regular,0.091098018,Frozen Foods,233.5984,OUT045,Small,Tier 2,Supermarket Type1,11,Very_High,7.93493106117165,FD
FDA,13.6,Low Fat,0.117874024,Snack Foods,193.6136,OUT045,Small,Tier 2,Supermarket Type1,11,High,23.0950346463265,FD
DRD,13.85,Low Fat,0.030795085,Soft Drinks,143.3154,OUT046,Small,Tier 1,Supermarket Type1,16,High,13.8534700388095,DR
FDL,16.1,Regular,0.063689583,Dairy,181.9318,OUT017,Small,Tier 2,Supermarket Type1,6,High,32.7279200227778,FD
FDD,18.25,Regular,0.184041545,Dairy,110.157,OUT018,Medium,Tier 3,Supermarket Type2,4,Medium,16.953702442877,FD
FDR,12.15,Regular,0.13283066,Fruits and Vegetables,190.6872,OUT017,Small,Tier 2,Supermarket Type1,6,High,11.899311542673,FD
DRI,15.35,Low Fat,0.020441939,Soft Drinks,216.4508,OUT017,Small,Tier 2,Supermarket Type1,6,Very_High,25.0692998131677,DR
FDG,12.15,Low Fat,0.037712875,Meat,64.4826,OUT027,Medium,Tier 3,Supermarket Type3,28,Low,39.0604814322003,FD
FDP,15.35,Low Fat,0.013840784,Frozen Foods,65.2168,OUT045,Small,Tier 2,Supermarket Type1,11,Low,14.7009972890421,FD
FDH,18.25,Low Fat,0.060198496,Starchy Foods,162.9526,OUT013,High,Tier 3,Supermarket Type1,26,High,7.06443591572028,FD
NCB,11.8,None,0.008559557,Health and Hygiene,117.2492,OUT035,Small,Tier 2,Supermarket Type1,9,Medium,20.7492520204829,NC
FDQ,9.27,Low Fat,0.061883353,Dairy,147.905,OUT049,Medium,Tier 1,Supermarket Type1,14,High,11.1413069199824,FD
FDI,15.1,Low Fat,0.052085615,Meat,242.8512,OUT027,Medium,Tier 3,Supermarket Type3,28,Very_High,23.9505870261296,FD
FDJ,12.8,Regular,0.039385992,Meat,224.8404,OUT010,Small,Tier 3,Grocery Store,15,Very_High,7.00622663898481,FD
DRN,15,Low Fat,0.064241345,Hard Drinks,45.206,OUT049,Medium,Tier 1,Supermarket Type1,14,Low,17.5264787860019,DR
NCR,12.5,None,0.006759519,Household,42.8112,OUT013,High,Tier 3,Supermarket Type1,26,Low,14.9299248794708,NC
NCF,17.35,None,0.167243769,Household,176.2712,OUT013,High,Tier 3,Supermarket Type1,26,High,16.9517788498632,NC
FDG,7.975,Low Fat,0.01469075,Baking Goods,84.725,OUT018,Medium,Tier 3,Supermarket Type2,4,Medium,20.6282089111832,FD
FDB,10.5,Regular,0.013551445,Snack Foods,142.0154,OUT018,Medium,Tier 3,Supermarket Type2,4,High,16.9760589344536,FD
FDQ,6.59,Low Fat,0.105085956,Fruits and Vegetables,82.3908,OUT027,Medium,Tier 3,Supermarket Type3,28,Medium,44.8010603125592,FD
NCV,14.35,None,0.017038777,Health and Hygiene,112.5228,OUT046,Small,Tier 1,Supermarket Type1,16,Medium,17.6800648401924,NC
FDW,12.35,Regular,0.038718195,Fruits and Vegetables,110.657,OUT017,Small,Tier 2,Supermarket Type1,6,Medium,18.8626386039744,FD
FDO,10.195,Regular,0.075291577,Fruits and Vegetables,119.1808,OUT010,Small,Tier 3,Grocery Store,15,Medium,2.94965632048115,FD
FDI,18.5,Regular,0.063157164,Frozen Foods,148.7418,OUT045,Small,Tier 2,Supermarket Type1,11,High,16.8171327763951,FD
FDN,11.5,Low Fat,0.047524635,Snack Foods,119.5124,OUT018,Medium,Tier 3,Supermarket Type2,4,Medium,6.94142867183656,FD
FDY,12.5,Regular,0.082085787,Fruits and Vegetables,92.2488,OUT018,Medium,Tier 3,Supermarket Type2,4,Medium,14.7235736399823,FD
DRM,15.35,Low Fat,0.095931002,Soft Drinks,198.5768,OUT027,Medium,Tier 3,Supermarket Type3,28,High,34.7356186624016,DR
FDV,10.695,Regular,0.011448629,Snack Foods,72.9038,OUT045,Small,Tier 2,Supermarket Type1,11,Medium,14.1920338857508,FD
NCX,14.15,None,0.00879232,Household,195.011,OUT035,Small,Tier 2,Supermarket Type1,9,High,10.0717908220562,NC
FDY,17.6,Low Fat,0.049167388,Snack Foods,114.9176,OUT045,Small,Tier 2,Supermarket Type1,11,Medium,16.9408271665959,FD
NCZ,12.15,None,0.079046992,Health and Hygiene,39.8506,OUT027,Medium,Tier 3,Supermarket Type3,28,Low,37.1405549728235,NC
FDT,6.215,Regular,0.049580407,Baking Goods,227.4062,OUT013,High,Tier 3,Supermarket Type1,26,Very_High,22.8280609763498,FD
FDD,18.1,Low Fat,0.022399592,Fruits and Vegetables,96.0094,OUT046,Small,Tier 1,Supermarket Type1,16,Medium,18.841682168621,FD
FDK,11.65,Low Fat,0.033926852,Seafood,111.586,OUT045,Small,Tier 2,Supermarket Type1,11,Medium,30.4301614897926,FD
FDJ,7.42,Regular,0.021617397,Seafood,185.0582,OUT045,Small,Tier 2,Supermarket Type1,11,High,28.1059126264062,FD
NCI,20,None,0.0814536,Others,36.819,OUT049,Medium,Tier 1,Supermarket Type1,14,Low,20.885928460849,NC
FDZ,17.75,Low Fat,0.07607772,Baking Goods,112.4544,OUT049,Medium,Tier 1,Supermarket Type1,14,Medium,20.8879545842581,FD
FDI,14,Regular,0.135775701,Frozen Foods,54.564,OUT046,Small,Tier 1,Supermarket Type1,16,Low,29.2852430173741,FD
FDZ,15.35,Regular,0.113387677,Fruits and Vegetables,193.0504,OUT049,Medium,Tier 1,Supermarket Type1,14,High,12.9124580938449,FD
DRG,6.13,Low Fat,0.076891526,Dairy,61.5536,OUT045,Small,Tier 2,Supermarket Type1,11,Low,12.9366405864157,DR
FDX,9.695,Regular,0.128543405,Baking Goods,226.5404,OUT045,Small,Tier 2,Supermarket Type1,11,Very_High,19.8675732893559,FD
FDD,20.25,Regular,0.014793357,Dairy,191.5162,OUT046,Small,Tier 1,Supermarket Type1,16,High,16.0751894617792,FD
FDA,11.3,Regular,0.066406853,Frozen Foods,259.7962,OUT027,Medium,Tier 3,Supermarket Type3,28,Very_High,21.9322545903289,FD
FDL,15.85,Regular,0.007140468,Snack Foods,40.848,OUT013,High,Tier 3,Supermarket Type1,26,Low,16.6254406580494,FD
FDS,19.85,Regular,0.020858779,Snack Foods,62.8194,OUT013,High,Tier 3,Supermarket Type1,26,Low,14.785098233985,FD
DRF,4.61,Low Fat,0.123346085,Hard Drinks,172.5396,OUT017,Small,Tier 2,Supermarket Type1,6,High,21.2312512605802,DR
FDM,7.365,Low Fat,0.159937597,Snack Foods,93.912,OUT035,Small,Tier 2,Supermarket Type1,9,Medium,13.8956469886702,FD
DRG,7.81,Low Fat,0.067128641,Soft Drinks,242.8486,OUT027,Medium,Tier 3,Supermarket Type3,28,Very_High,14.0864736300724,DR
FDG,18.85,Low Fat,0.042736348,Canned,255.933,OUT045,Small,Tier 2,Supermarket Type1,11,Very_High,15.023443635639,FD
FDR,9.035,Regular,0.172629683,Meat,148.4708,OUT027,Medium,Tier 3,Supermarket Type3,28,High,25.3367665561174,FD
FDV,11.3,Low Fat,0.007278512,Meat,196.7426,OUT035,Small,Tier 2,Supermarket Type1,9,High,14.0711589660806,FD
FDC,7.405,Low Fat,0.14586127,Dairy,205.7296,OUT017,Small,Tier 2,Supermarket Type1,6,Very_High,22.2138729672347,FD
FDP,15.7,Regular,0.03079807,Snack Foods,252.9724,OUT017,Small,Tier 2,Supermarket Type1,6,Very_High,11.9383331936607,FD
FDC,7.72,Low Fat,0.12152072,Fruits and Vegetables,118.244,OUT046,Small,Tier 1,Supermarket Type1,16,Medium,8.10825073576672,FD
FDK,6.65,Low Fat,0.053591345,Canned,149.7734,OUT017,Small,Tier 2,Supermarket Type1,6,High,15.8611235372903,FD
NCJ,10.6,None,0.035163639,Health and Hygiene,84.4224,OUT013,High,Tier 3,Supermarket Type1,26,Medium,10.0947615798651,NC
NCF,13,None,0.061470858,Household,48.6034,OUT019,Small,Tier 1,Grocery Store,28,Low,3,NC
FDG,15.85,Low Fat,0.043226398,Starchy Foods,37.5164,OUT035,Small,Tier 2,Supermarket Type1,9,Low,7.2052435734772,FD
FDE,12.15,Low Fat,0.062640143,Starchy Foods,36.6532,OUT017,Small,Tier 2,Supermarket Type1,6,Low,6.86631453733917,FD
FDB,11.35,Regular,0.06358394,Dairy,89.4856,OUT017,Small,Tier 2,Supermarket Type1,6,Medium,12.7675603672546,FD
NCK,20.1,None,0.077389797,Health and Hygiene,60.8536,OUT013,High,Tier 3,Supermarket Type1,26,Low,22.1446093575401,NC
FDR,15.7,Regular,0.00878535,Meat,204.998,OUT017,Small,Tier 2,Supermarket Type1,6,Very_High,26.1775627079289,FD
FDQ,15,Regular,0.136592891,Meat,238.0248,OUT019,Small,Tier 1,Grocery Store,28,Very_High,2.9873962713129,FD
FDC,16.7,Regular,0.054937907,Starchy Foods,64.2168,OUT017,Small,Tier 2,Supermarket Type1,6,Low,25.8785364577494,FD
DRB,6.115,Regular,0.007084185,Soft Drinks,191.153,OUT017,Small,Tier 2,Supermarket Type1,6,High,17.8681684305242,DR
NCE,20.7,None,0.027052013,Household,73.9354,OUT017,Small,Tier 2,Supermarket Type1,6,Medium,22.3868241735353,NC
FDC,9.8,Regular,0.072863893,Snack Foods,118.6098,OUT035,Small,Tier 2,Supermarket Type1,9,Medium,7.11213238703716,FD
FDR,16.85,Low Fat,0.244102315,Snack Foods,148.076,OUT019,Small,Tier 1,Grocery Store,28,High,0.989194737837327,FD
FDA,20.35,Low Fat,0.141789197,Snack Foods,121.9072,OUT035,Small,Tier 2,Supermarket Type1,9,Medium,11.0541395422092,FD
FDP,6.71,Low Fat,0.035414528,Breads,218.2166,OUT027,Medium,Tier 3,Supermarket Type3,28,Very_High,16.9610478762844,FD
FDJ,6.85,Low Fat,0.022864238,Frozen Foods,260.0594,OUT013,High,Tier 3,Supermarket Type1,26,Very_High,23.1415061328297,FD
FDL,20.35,Low Fat,0.054011943,Snack Foods,116.5466,OUT013,High,Tier 3,Supermarket Type1,26,Medium,16.1784693847783,FD
FDX,9.195,Regular,0.117462619,Snack Foods,158.9578,OUT035,Small,Tier 2,Supermarket Type1,9,High,14.1321105349973,FD
NCL,9.695,None,0.11411658,Health and Hygiene,158.8604,OUT049,Medium,Tier 1,Supermarket Type1,14,High,27.9294978484254,NC
FDE,8.895,Low Fat,0.046124444,Frozen Foods,206.7954,OUT019,Small,Tier 1,Grocery Store,28,Very_High,4.0309484640374,FD
FDM,11.65,Regular,0.075849167,Snack Foods,85.1908,OUT046,Small,Tier 1,Supermarket Type1,16,Medium,25.60324354273,FD
FDZ,6.035,Regular,0.065729039,Baking Goods,188.324,OUT013,High,Tier 3,Supermarket Type1,26,High,7.91928803551326,FD
NCW,18.2,None,0.097865088,Household,221.8456,OUT010,Small,Tier 3,Grocery Store,15,Very_High,3.98557555344798,NC
NCI,15.2,None,0.058827583,Household,110.4912,OUT019,Small,Tier 1,Grocery Store,28,Medium,3.95293742850109,NC
DRK,7.63,Low Fat,0.061313057,Soft Drinks,93.3436,OUT018,Medium,Tier 3,Supermarket Type2,4,Medium,14.1799802021778,DR
FDX,6.385,Regular,0.123961415,Snack Foods,33.2874,OUT045,Small,Tier 2,Supermarket Type1,11,Low,4.24033117636103,FD
FDO,9.6,Regular,0.014270394,Snack Foods,187.3872,OUT018,Medium,Tier 3,Supermarket Type2,4,High,14.1270097423944,FD
FDD,20.5,Low Fat,0.060847634,Frozen Foods,75.0696,OUT010,Small,Tier 3,Grocery Store,15,Medium,1.98667902852819,FD
FDZ,16.1,Low Fat,0.037746432,Fruits and Vegetables,253.0356,OUT027,Medium,Tier 3,Supermarket Type3,28,Very_High,45.2311927649706,FD
NCI,18.35,None,0.014103354,Household,225.4746,OUT017,Small,Tier 2,Supermarket Type1,6,Very_High,5.97072841020674,NC
DRI,19.6,Low Fat,0.033901442,Soft Drinks,56.2614,OUT046,Small,Tier 1,Supermarket Type1,16,Low,13.7511615423719,DR
FDY,14.15,Regular,0.024454052,Fruits and Vegetables,197.211,OUT045,Small,Tier 2,Supermarket Type1,11,High,18.9229251917996,FD
FDW,5.325,Regular,0.241055611,Dairy,55.9298,OUT019,Small,Tier 1,Grocery Store,28,Low,1.92848177536841,FD
FDY,14.5,Regular,0.096730427,Snack Foods,159.0262,OUT027,Medium,Tier 3,Supermarket Type3,28,High,37.0232666063831,FD
DRH,17.6,Low Fat,0.097198194,Dairy,89.8856,OUT035,Small,Tier 2,Supermarket Type1,9,Medium,3.91099797965414,DR
FDT,19,Regular,0.066005186,Fruits and Vegetables,188.4214,OUT017,Small,Tier 2,Supermarket Type1,6,High,15,FD
FDI,8.42,Regular,0.030890618,Canned,228.7352,OUT049,Medium,Tier 1,Supermarket Type1,14,Very_High,26.0341005669438,FD
FDB,9.3,Low Fat,0.028498354,Baking Goods,195.8136,OUT013,High,Tier 3,Supermarket Type1,26,High,11.9142041206535,FD
FDP,19.75,Low Fat,0.033883448,Snack Foods,213.2902,OUT035,Small,Tier 2,Supermarket Type1,9,Very_High,19.9156079369798,FD
FDA,6.78,Low Fat,0.066565644,Fruits and Vegetables,185.324,OUT013,High,Tier 3,Supermarket Type1,26,High,21.1246465649349,FD
NCX,15.2,None,0.169943195,Health and Hygiene,116.2492,OUT019,Small,Tier 1,Grocery Store,28,Medium,0.996559116105745,NC
DRF,17.25,Low Fat,0.084079477,Soft Drinks,263.591,OUT045,Small,Tier 2,Supermarket Type1,11,Very_High,2.99317123877522,DR
FDJ,15.3,Regular,0.084765192,Canned,215.0218,OUT046,Small,Tier 1,Supermarket Type1,16,Very_High,8.94558691258282,FD
FDZ,15.7,Regular,0.027617046,Canned,168.279,OUT046,Small,Tier 1,Supermarket Type1,16,High,24.2139304369529,FD
FDZ,17.85,Low Fat,0.052166995,Snack Foods,121.7072,OUT035,Small,Tier 2,Supermarket Type1,9,Medium,23.1511825101555,FD
FDZ,12.8,Regular,0.073025471,Dairy,184.2608,OUT027,Medium,Tier 3,Supermarket Type3,28,High,32.9104530100814,FD
NCG,15.3,None,0.038460297,Household,104.0332,OUT010,Small,Tier 3,Grocery Store,15,Medium,1.971163051795,NC
FDZ,16.25,Low Fat,0.025789175,Fruits and Vegetables,166.9474,OUT045,Small,Tier 2,Supermarket Type1,11,High,17.1527427201622,FD
FDH,15,Regular,0.161301097,Canned,185.1266,OUT013,High,Tier 3,Supermarket Type1,26,High,11.9546256453692,FD
DRO,13.85,Low Fat,0.034640466,Hard Drinks,116.1492,OUT045,Small,Tier 2,Supermarket Type1,11,Medium,10.9715882675042,DR
DRH,17.6,Low Fat,0.091411749,Dairy,89.1856,OUT027,Medium,Tier 3,Supermarket Type3,28,Medium,23.6501677400836,DR
FDS,13.8,Regular,0.064307102,Fruits and Vegetables,77.3012,OUT049,Medium,Tier 1,Supermarket Type1,14,Medium,20.6196695523485,FD
NCM,7.475,None,0.076036381,Household,153.9656,OUT018,Medium,Tier 3,Supermarket Type2,4,High,17.0552071371787,NC
FDP,18.7,Regular,0.071091591,Frozen Foods,228.601,OUT017,Small,Tier 2,Supermarket Type1,6,Very_High,21.1010494267304,FD
FDK,12.5,Low Fat,0.187841082,Canned,119.244,OUT010,Small,Tier 3,Grocery Store,15,Medium,1.00503169970816,FD
FDG,15.85,Low Fat,0.043234574,Starchy Foods,38.3164,OUT046,Small,Tier 1,Supermarket Type1,16,Low,14.1096136380244,FD
FDN,19.35,Low Fat,0.026055106,Fruits and Vegetables,169.5474,OUT027,Medium,Tier 3,Supermarket Type3,28,High,24.8378034697082,FD
FDO,20.75,Low Fat,0.109153001,Snack Foods,161.3578,OUT018,Medium,Tier 3,Supermarket Type2,4,High,27.8438253372319,FD
NCJ,5.82,None,0.08062523,Household,168.379,OUT035,Small,Tier 2,Supermarket Type1,9,High,7.05820203231995,NC
FDQ,5.785,Regular,0.0901292,Fruits and Vegetables,89.8856,OUT010,Small,Tier 3,Grocery Store,15,Medium,1.95549898982707,FD
FDC,13.1,Regular,0.098938169,Frozen Foods,195.7768,OUT049,Medium,Tier 1,Supermarket Type1,14,High,21.1394445102791,FD
FDM,10.1,Regular,0.02844314,Fruits and Vegetables,225.1088,OUT013,High,Tier 3,Supermarket Type1,26,Very_High,15.900492561819,FD
NCA,16.75,None,0.032580547,Health and Hygiene,192.1162,OUT035,Small,Tier 2,Supermarket Type1,9,High,20.0312310986788,NC
FDK,10.8,Low Fat,0.097937252,Meat,98.9042,OUT027,Medium,Tier 3,Supermarket Type3,28,Medium,50.1516619112232,FD
FDX,17.1,Regular,0.076735903,Fruits and Vegetables,208.5638,OUT049,Medium,Tier 1,Supermarket Type1,14,Very_High,25.813006859292,FD
FDT,7.42,Low Fat,0.020391845,Snack Foods,248.9092,OUT046,Small,Tier 1,Supermarket Type1,16,Very_High,9.00361577635539,FD
FDQ,7.51,Low Fat,0.103813029,Snack Foods,113.7544,OUT046,Small,Tier 1,Supermarket Type1,16,Medium,5.89978409626353,FD
FDS,11.6,Low Fat,0.031069203,Canned,179.6686,OUT019,Small,Tier 1,Grocery Store,28,High,0.989424974647768,FD
FDW,9.6,Low Fat,0.062294473,Snack Foods,242.417,OUT019,Small,Tier 1,Grocery Store,28,Very_High,2.00495014788567,FD
FDX,19.2,Regular,0.022914478,Fruits and Vegetables,181.195,OUT035,Small,Tier 2,Supermarket Type1,9,High,13.1363172272966,FD
FDN,18.6,Low Fat,0.152058281,Breakfast,99.9358,OUT046,Small,Tier 1,Supermarket Type1,16,Medium,2.01200770894915,FD
NCP,7.105,None,0.044991294,Household,59.2562,OUT018,Medium,Tier 3,Supermarket Type2,4,Low,11,NC
FDT,4.92,Low Fat,0.046214971,Baking Goods,199.8084,OUT017,Small,Tier 2,Supermarket Type1,6,High,19.8598657513898,FD
FDZ,11,Regular,0.13312044,Canned,221.5798,OUT035,Small,Tier 2,Supermarket Type1,9,Very_High,18.8971025337147,FD
NCJ,7.68,None,0.255348289,Health and Hygiene,84.4224,OUT010,Small,Tier 3,Grocery Store,15,Medium,2.01895231597301,NC
FDB,13.15,Low Fat,0.036879539,Frozen Foods,181.3976,OUT017,Small,Tier 2,Supermarket Type1,6,High,16.9718849642994,FD
FDP,7.52,Regular,0.044202545,Baking Goods,182.995,OUT018,Medium,Tier 3,Supermarket Type2,4,High,24.0131151124348,FD
FDI,8.895,Regular,0.137858955,Frozen Foods,162.1236,OUT049,Medium,Tier 1,Supermarket Type1,14,High,15.9013098648192,FD
FDW,4.805,Regular,0.037668051,Dairy,126.7704,OUT013,High,Tier 3,Supermarket Type1,26,Medium,20.7349539009106,FD
FDL,17.1,Low Fat,0.224837308,Fruits and Vegetables,112.7886,OUT019,Small,Tier 1,Grocery Store,28,Medium,1.97162833832497,FD
FDV,7.785,Low Fat,0.089069748,Fruits and Vegetables,62.751,OUT018,Medium,Tier 3,Supermarket Type2,4,Low,27.2151360137687,FD
FDG,8.975,Regular,0.053027398,Canned,86.0224,OUT017,Small,Tier 2,Supermarket Type1,6,Medium,14.8605014507849,FD
NCB,6.235,None,0.118099673,Household,262.891,OUT027,Medium,Tier 3,Supermarket Type3,28,Very_High,21.0079881015326,NC
FDF,9.3,Low Fat,0.067282681,Frozen Foods,182.9292,OUT017,Small,Tier 2,Supermarket Type1,6,High,21.9398674459846,FD
FDB,10.895,Low Fat,0.137023446,Dairy,263.7568,OUT049,Medium,Tier 1,Supermarket Type1,14,Very_High,28.9890050228089,FD
FDO,15,Regular,0.026950104,Baking Goods,220.9456,OUT018,Medium,Tier 3,Supermarket Type2,4,Very_High,8.0036208007763,FD
NCR,12.15,None,0.151308326,Health and Hygiene,224.4404,OUT018,Medium,Tier 3,Supermarket Type2,4,Very_High,25.0668328874837,NC
FDF,16.7,Regular,0.119362812,Fruits and Vegetables,180.3976,OUT013,High,Tier 3,Supermarket Type1,26,High,17.0659654008701,FD
FDL,15.1,Regular,0.067350054,Snack Foods,257.3304,OUT018,Medium,Tier 3,Supermarket Type2,4,Very_High,15.0582908198954,FD
NCC,8.02,None,0.021392306,Household,157.7972,OUT013,High,Tier 3,Supermarket Type1,26,High,10.8605805426205,NC
FDE,19.35,Regular,0.049712775,Fruits and Vegetables,78.2644,OUT049,Medium,Tier 1,Supermarket Type1,14,Medium,19.072830047889,FD
FDV,20.7,Regular,0.122208091,Frozen Foods,119.7466,OUT017,Small,Tier 2,Supermarket Type1,6,Medium,33.4605274805297,FD
FDR,16.85,Low Fat,0.138742518,Snack Foods,147.476,OUT027,Medium,Tier 3,Supermarket Type3,28,High,22.8440424204616,FD
DRE,4.59,Low Fat,0.070780558,Soft Drinks,114.586,OUT046,Small,Tier 1,Supermarket Type1,16,Medium,10.8656031277818,DR
FDD,18.1,Low Fat,0.037492325,Fruits and Vegetables,95.5094,OUT010,Small,Tier 3,Grocery Store,15,Medium,0.996858947915074,FD
NCS,12.85,None,0.053527105,Health and Hygiene,185.1608,OUT049,Medium,Tier 1,Supermarket Type1,14,High,12.9017070567852,NC
NCY,16.75,None,0.076164013,Health and Hygiene,34.0532,OUT017,Small,Tier 2,Supermarket Type1,6,Low,16.8927208015693,NC
FDV,14.85,Regular,0.009995002,Snack Foods,154.463,OUT017,Small,Tier 2,Supermarket Type1,6,High,24.3107540317099,FD
FDF,8.235,Low Fat,0.08259502,Baking Goods,149.1076,OUT045,Small,Tier 2,Supermarket Type1,11,High,7.93025171084505,FD
FDM,6.425,Low Fat,0.063122753,Breakfast,131.3626,OUT013,High,Tier 3,Supermarket Type1,26,Medium,1.99695499327815,FD
FDQ,6.59,Low Fat,0.105597316,Fruits and Vegetables,83.4908,OUT046,Small,Tier 1,Supermarket Type1,16,Medium,16.076655152424,FD
FDW,12.6,Regular,0.021863506,Fruits and Vegetables,247.0092,OUT027,Medium,Tier 3,Supermarket Type3,28,Very_High,22.1781310169824,FD
NCT,12.6,None,0.063800266,Health and Hygiene,123.0414,OUT027,Medium,Tier 3,Supermarket Type3,28,Medium,37.6293930335643,NC
NCX,6.36,None,0.006012413,Household,163.0526,OUT017,Small,Tier 2,Supermarket Type1,6,High,10.0858618629816,NC
FDR,17.35,Regular,0.063207198,Baking Goods,89.383,OUT017,Small,Tier 2,Supermarket Type1,6,Medium,14.0783146683374,FD
NCS,8.6,None,0.069809115,Household,90.5146,OUT017,Small,Tier 2,Supermarket Type1,6,Medium,8.0618684720476,NC
FDL,17.7,Low Fat,0.011660463,Frozen Foods,96.541,OUT018,Medium,Tier 3,Supermarket Type2,4,Medium,23,FD
FDD,7.6,Regular,0.142410775,Starchy Foods,171.9448,OUT046,Small,Tier 1,Supermarket Type1,16,High,21.8080779412928,FD
DRE,19.6,Low Fat,0.024226902,Dairy,48.7718,OUT046,Small,Tier 1,Supermarket Type1,16,Low,4.84622261224724,DR
NCM,13,None,0.082440705,Household,61.3194,OUT027,Medium,Tier 3,Supermarket Type3,28,Low,33.3228994412861,NC
FDF,9.3,Low Fat,0.066918731,Frozen Foods,184.2292,OUT045,Small,Tier 2,Supermarket Type1,11,High,8.91206605684658,FD
NCG,20.2,None,0.074390007,Household,91.4462,OUT045,Small,Tier 2,Supermarket Type1,11,Medium,21.2526075441079,NC
FDE,11.35,Regular,0.005530516,Fruits and Vegetables,171.179,OUT046,Small,Tier 1,Supermarket Type1,16,High,28.7628213741172,FD
FDI,16.5,Low Fat,0.028579565,Snack Foods,90.3146,OUT017,Small,Tier 2,Supermarket Type1,6,Medium,28.2790246538212,FD
NCT,17.1,None,0.038705317,Household,165.0842,OUT013,High,Tier 3,Supermarket Type1,26,High,14.0593636459455,NC
FDY,4.88,Regular,0.141129263,Baking Goods,53.1298,OUT035,Small,Tier 2,Supermarket Type1,9,Low,15.2258619456501,FD
FDZ,10.195,Low Fat,0.108004532,Snack Foods,148.7076,OUT017,Small,Tier 2,Supermarket Type1,6,High,8.94553069244611,FD
FDJ,12.8,Regular,0.023626808,Meat,223.2404,OUT018,Medium,Tier 3,Supermarket Type2,4,Very_High,11.0886936235556,FD
FDE,12.1,Low Fat,0.070660449,Fruits and Vegetables,180.4002,OUT019,Small,Tier 1,Grocery Store,28,High,3.97117519825366,FD
FDD,8.05,Regular,0.078719835,Fruits and Vegetables,258.5646,OUT018,Medium,Tier 3,Supermarket Type2,4,Very_High,11.9582309411265,FD
FDD,20.6,Regular,0.046208155,Snack Foods,178.0344,OUT018,Medium,Tier 3,Supermarket Type2,4,High,9.02022081125895,FD
FDA,6.32,Low Fat,0.012769753,Meat,39.9822,OUT018,Medium,Tier 3,Supermarket Type2,4,Low,1.96498441806604,FD
FDB,5.465,Regular,0.048486801,Baking Goods,131.2626,OUT013,High,Tier 3,Supermarket Type1,26,Medium,25.9801923777222,FD
FDK,18.25,Low Fat,0.132596101,Frozen Foods,226.2062,OUT010,Small,Tier 3,Grocery Store,15,Very_High,2.99336888202003,FD
FDJ,14.5,Regular,0.128459481,Baking Goods,102.0332,OUT049,Medium,Tier 1,Supermarket Type1,14,Medium,20.098007315266,FD
NCB,15.7,None,0.161317495,Household,57.5562,OUT018,Medium,Tier 3,Supermarket Type2,4,Low,14.4135088834913,NC
NCK,9.6,None,0.011211251,Household,166.9184,OUT010,Small,Tier 3,Grocery Store,15,High,3.95686515087612,NC
